Data,Hora,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh)
2022-01-01,00,0,0.486,0,None
2022-01-01,01,0,0.429,0,None
2022-01-01,02,0,0.463,0,None
2022-01-01,03,0,0.545,0,None
2022-01-01,04,0,0.439,0,None
2022-01-01,05,0,0.399,0,None
2022-01-01,06,0,0.398,0,None
2022-01-01,07,0,0.396,0,None
2022-01-01,08,0.349,0,0.048,None
2022-01-01,09,0.272,0,0.156,None
2022-01-01,10,0.496,0,0.545,Medium
2022-01-01,11,2.065,0,0.784,None
2022-01-01,12,0.197,0,0.611,Medium
2022-01-01,13,0.444,0,0.502,Medium
2022-01-01,14,0.403,0,0.131,None
2022-01-01,15,0.185,0,0.227,None
2022-01-01,16,0.345,0,0.017,None
2022-01-01,17,0.343,0,0,None
2022-01-01,18,0.473,0,0,None
2022-01-01,19,0.46,0,0,None
2022-01-01,20,0.584,0,0,None
2022-01-01,21,0.939,0,0,None
2022-01-01,22,0,0.592,0,None
2022-01-01,23,0,0.55,0,None
2022-01-02,00,0,0.648,0,None
2022-01-02,01,0,0.473,0,None
2022-01-02,02,0,0.38,0,None
2022-01-02,03,0,0.355,0,None
2022-01-02,04,0,0.356,0,None
2022-01-02,05,0,0.344,0,None
2022-01-02,06,0,0.323,0,None
2022-01-02,07,0,0.525,0,None
2022-01-02,08,2.46,0,0.025,None
2022-01-02,09,0.455,0,0.07,None
2022-01-02,10,0.294,0,0.217,Medium
2022-01-02,11,0.823,0,0.81,None
2022-01-02,12,0.65,0,0.7,None
2022-01-02,13,1.191,0,0.224,None
2022-01-02,14,0.083,0,0.377,Medium
2022-01-02,15,0.411,0,0.264,Low
2022-01-02,16,0.35,0,0.057,None
2022-01-02,17,0.319,0,0,None
2022-01-02,18,0.655,0,0,None
2022-01-02,19,0.638,0,0,None
2022-01-02,20,0.683,0,0,None
2022-01-02,21,0.689,0,0,None
2022-01-02,22,0,0.526,0,None
2022-01-02,23,0,1.122,0,None
2022-01-03,00,0,1.122,0,None
2022-01-03,01,0,0.42,0,None
2022-01-03,02,0,0.26,0,None
2022-01-03,03,0,0.246,0,None
2022-01-03,04,0,0.244,0,None
2022-01-03,05,0,0.269,0,None
2022-01-03,06,0,0.255,0,None
2022-01-03,07,0,0.568,0,None
2022-01-03,08,1.095,0,0.044,None
2022-01-03,09,0.101,0,0.196,Low
2022-01-03,10,0,0,0.24,Medium
2022-01-03,11,0.749,0,0.339,Low
2022-01-03,12,0.164,0,0.276,Medium
2022-01-03,13,0.285,0,0.139,Low
2022-01-03,14,0.334,0,0.074,None
2022-01-03,15,0.333,0,0.051,None
2022-01-03,16,0.375,0,0.008,None
2022-01-03,17,0.478,0,0,None
2022-01-03,18,0.583,0,0,None
2022-01-03,19,0.678,0,0,None
2022-01-03,20,0.686,0,0,None
2022-01-03,21,0.504,0,0,None
2022-01-03,22,0,0.584,0,None
2022-01-03,23,0,1.113,0,None
2022-01-04,00,0,0.573,0,None
2022-01-04,01,0,0.442,0,None
2022-01-04,02,0,0.397,0,None
2022-01-04,03,0,0.321,0,None
2022-01-04,04,0,0.326,0,None
2022-01-04,05,0,0.322,0,None
2022-01-04,06,0,0.324,0,None
2022-01-04,07,0,0.323,0,None
2022-01-04,08,0.784,0,0.001,None
2022-01-04,09,0.653,0,0.011,None
2022-01-04,10,0.275,0,0.095,None
2022-01-04,11,0.067,0,0.295,Medium
2022-01-04,12,0.242,0,0.25,None
2022-01-04,13,0.026,0,0.295,Medium
2022-01-04,14,0.202,0,0.139,Medium
2022-01-04,15,0.068,0,0.342,None
2022-01-04,16,0.264,0,0.017,None
2022-01-04,17,0.335,0,0.005,None
2022-01-04,18,0.347,0,0,None
2022-01-04,19,0.356,0,0,None
2022-01-04,20,0.6,0,0,None
2022-01-04,21,0.576,0,0,None
2022-01-04,22,0,0.478,0,None
2022-01-04,23,0,0.433,0,None
2022-01-05,00,0,0.464,0,None
2022-01-05,01,0,0.319,0,None
2022-01-05,02,0,0.321,0,None
2022-01-05,03,0,0.277,0,None
2022-01-05,04,0,0.273,0,None
2022-01-05,05,0,0.266,0,None
2022-01-05,06,0,0.262,0,None
2022-01-05,07,0,0.27,0,None
2022-01-05,08,0.691,0,0.004,None
2022-01-05,09,0.625,0,0.073,None
2022-01-05,10,0.825,0,0.112,None
2022-01-05,11,0.258,0,0.085,None
2022-01-05,12,0.153,0,0.124,None
2022-01-05,13,0.142,0,0.157,None
2022-01-05,14,0.217,0,0.157,Medium
2022-01-05,15,0.076,0,0.2,Low
2022-01-05,16,0.204,0,0.074,None
2022-01-05,17,0.316,0,0,None
2022-01-05,18,0.45,0,0,None
2022-01-05,19,0.497,0,0,None
2022-01-05,20,0.562,0,0,None
2022-01-05,21,0.363,0,0,None
2022-01-05,22,0,0.509,0,None
2022-01-05,23,0,0.5,0,None
2022-01-06,00,0,0.409,0,None
2022-01-06,01,0,0.47,0,None
2022-01-06,02,0,0.451,0,None
2022-01-06,03,0,0.392,0,None
2022-01-06,04,0,0.578,0,None
2022-01-06,05,0,0.402,0,None
2022-01-06,06,0,0.388,0,None
2022-01-06,07,0,0.339,0,None
2022-01-06,08,0.979,0,0.029,None
2022-01-06,09,0.271,0,0.078,None
2022-01-06,10,0.2,0,0.129,None
2022-01-06,11,0.173,0,0.182,None
2022-01-06,12,0.022,0,0.27,Low
2022-01-06,13,0.135,0,0.163,Low
2022-01-06,14,0.657,0,0.131,None
2022-01-06,15,0.965,0,0.109,None
2022-01-06,16,0.341,0,0.032,None
2022-01-06,17,0.326,0,0.001,None
2022-01-06,18,0.467,0,0,None
2022-01-06,19,1.353,0,0,None
2022-01-06,20,0.921,0,0,None
2022-01-06,21,0.574,0,0,None
2022-01-06,22,0,0.537,0,None
2022-01-06,23,0,0.508,0,None
2022-01-07,00,0,0.471,0,None
2022-01-07,01,0,0.324,0,None
2022-01-07,02,0,0.36,0,None
2022-01-07,03,0,0.34,0,None
2022-01-07,04,0,0.33,0,None
2022-01-07,05,0,0.283,0,None
2022-01-07,06,0,0.272,0,None
2022-01-07,07,0,0.271,0,None
2022-01-07,08,0.81,0,0.101,None
2022-01-07,09,0,0,0.333,Medium
2022-01-07,10,0.107,0,0.527,Medium
2022-01-07,11,0.402,0,0.778,Medium
2022-01-07,12,0.228,0,0.437,High
2022-01-07,13,0,0,0.251,High
2022-01-07,14,0,0,0.278,High
2022-01-07,15,0,0,0.332,Medium
2022-01-07,16,0.25,0,0.074,None
2022-01-07,17,0.342,0,0.002,None
2022-01-07,18,0.325,0,0,None
2022-01-07,19,0.628,0,0,None
2022-01-07,20,0.817,0,0,None
2022-01-07,21,0.508,0,0,None
2022-01-07,22,0,0.374,0,None
2022-01-07,23,0,0.379,0,None
2022-01-08,00,0,0.31,0,None
2022-01-08,01,0,0.325,0,None
2022-01-08,02,0,1.767,0,None
2022-01-08,03,0,0.538,0,None
2022-01-08,04,0,0.25,0,None
2022-01-08,05,0,0.245,0,None
2022-01-08,06,0,0.242,0,None
2022-01-08,07,0,0.231,0,None
2022-01-08,08,1.036,0,0.072,None
2022-01-08,09,0.036,0,0.196,Low
2022-01-08,10,0.045,0,0.256,Medium
2022-01-08,11,0.505,0,0.308,Medium
2022-01-08,12,0.787,0,0.268,None
2022-01-08,13,0.032,0,0.304,Medium
2022-01-08,14,0.156,0,0.233,None
2022-01-08,15,0.366,0,0.167,None
2022-01-08,16,0.648,0,0.026,None
2022-01-08,17,0.444,0,0,None
2022-01-08,18,0.477,0,0,None
2022-01-08,19,0.425,0,0,None
2022-01-08,20,0.371,0,0,None
2022-01-08,21,0.346,0,0,None
2022-01-08,22,0,0.451,0,None
2022-01-08,23,0,0.479,0,None
2022-01-09,00,0,0.472,0,None
2022-01-09,01,0,0.517,0,None
2022-01-09,02,0,0.413,0,None
2022-01-09,03,0,0.244,0,None
2022-01-09,04,0,0.303,0,None
2022-01-09,05,0,0.302,0,None
2022-01-09,06,0,0.236,0,None
2022-01-09,07,0,1.656,0,None
2022-01-09,08,0.228,0,0.005,None
2022-01-09,09,0.576,0,0.04,None
2022-01-09,10,1.39,0,0.102,None
2022-01-09,11,0.774,0,0.132,None
2022-01-09,12,1.416,0,0.127,None
2022-01-09,13,1.715,0,0.122,None
2022-01-09,14,1.174,0,0.131,None
2022-01-09,15,0.329,0,0.092,None
2022-01-09,16,0.612,0,0.018,None
2022-01-09,17,0.667,0,0,None
2022-01-09,18,0.828,0,0,None
2022-01-09,19,1.574,0,0,None
2022-01-09,20,1.08,0,0,None
2022-01-09,21,1.427,0,0,None
2022-01-09,22,0,0.841,0,None
2022-01-09,23,0,0.952,0,None
2022-01-10,00,0,1.503,0,None
2022-01-10,01,0,0.645,0,None
2022-01-10,02,0,0.585,0,None
2022-01-10,03,0,0.473,0,None
2022-01-10,04,0,0.495,0,None
2022-01-10,05,0,0.477,0,None
2022-01-10,06,0,0.474,0,None
2022-01-10,07,0,1.821,0,None
2022-01-10,08,0.607,0,0.015,None
2022-01-10,09,0.329,0,0.103,None
2022-01-10,10,0.296,0,0.133,None
2022-01-10,11,0.311,0,0.129,None
2022-01-10,12,0.244,0,0.204,None
2022-01-10,13,0.223,0,0.228,None
2022-01-10,14,0.272,0,0.176,None
2022-01-10,15,0.346,0,0.104,None
2022-01-10,16,0.477,0,0.025,None
2022-01-10,17,0.526,0,0.001,None
2022-01-10,18,0.484,0,0,None
2022-01-10,19,1.027,0,0,None
2022-01-10,20,0.758,0,0,None
2022-01-10,21,0.4,0,0,None
2022-01-10,22,0,0.421,0,None
2022-01-10,23,0,0.6,0,None
2022-01-11,00,0,1.312,0,None
2022-01-11,01,0,0.238,0,None
2022-01-11,02,0,0.24,0,None
2022-01-11,03,0,0.228,0,None
2022-01-11,04,0,0.242,0,None
2022-01-11,05,0,0.24,0,None
2022-01-11,06,0,0.237,0,None
2022-01-11,07,0,1.244,0,None
2022-01-11,08,0.25,0,0.091,None
2022-01-11,09,0.108,0,0.346,Medium
2022-01-11,10,0,0,0.255,High
2022-01-11,11,0,0,0.257,High
2022-01-11,12,0,0,0.272,High
2022-01-11,13,0,0,0.269,High
2022-01-11,14,0,0,0.262,High
2022-01-11,15,0,0,0.256,Medium
2022-01-11,16,0.173,0,0.074,None
2022-01-11,17,0.189,0,0,None
2022-01-11,18,0.555,0,0,None
2022-01-11,19,1.177,0,0,None
2022-01-11,20,0.771,0,0,None
2022-01-11,21,0.65,0,0,None
2022-01-11,22,0,0.608,0,None
2022-01-11,23,0,0.415,0,None
2022-01-12,00,0,0.382,0,None
2022-01-12,01,0,0.375,0,None
2022-01-12,02,0,0.286,0,None
2022-01-12,03,0,0.236,0,None
2022-01-12,04,0,0.232,0,None
2022-01-12,05,0,0.23,0,None
2022-01-12,06,0,0.216,0,None
2022-01-12,07,0,1.415,0,None
2022-01-12,08,0.258,0,0.086,Low
2022-01-12,09,0.188,0,0.374,Medium
2022-01-12,10,0,0,0.306,High
2022-01-12,11,0,0,0.309,High
2022-01-12,12,0,0,0.308,Very High
2022-01-12,13,0,0,0.297,High
2022-01-12,14,0,0,0.293,High
2022-01-12,15,0,0,0.332,Medium
2022-01-12,16,0.292,0,0.084,None
2022-01-12,17,0.453,0,0,None
2022-01-12,18,0.533,0,0,None
2022-01-12,19,0.448,0,0,None
2022-01-12,20,0.312,0,0,None
2022-01-12,21,0.493,0,0,None
2022-01-12,22,0,0.634,0,None
2022-01-12,23,0,0.533,0,None
2022-01-13,00,0,0.571,0,None
2022-01-13,01,0,0.522,0,None
2022-01-13,02,0,0.456,0,None
2022-01-13,03,0,0.379,0,None
2022-01-13,04,0,0.374,0,None
2022-01-13,05,0,0.38,0,None
2022-01-13,06,0,0.37,0,None
2022-01-13,07,0,1.221,0,None
2022-01-13,08,0.233,0,0.09,Low
2022-01-13,09,0,0,0.256,High
2022-01-13,10,0,0,0.255,High
2022-01-13,11,0,0,0.29,High
2022-01-13,12,0,0,0.277,Very High
2022-01-13,13,0,0,0.527,High
2022-01-13,14,0,0,0.552,Medium
2022-01-13,15,0.002,0,0.299,Medium
2022-01-13,16,0.294,0,0.084,None
2022-01-13,17,0.648,0,0.001,None
2022-01-13,18,0.532,0,0,None
2022-01-13,19,0.619,0,0,None
2022-01-13,20,0.617,0,0,None
2022-01-13,21,0.413,0,0,None
2022-01-13,22,0,0.494,0,None
2022-01-13,23,0,0.602,0,None
2022-01-14,00,0,0.39,0,None
2022-01-14,01,0,0.24,0,None
2022-01-14,02,0,0.299,0,None
2022-01-14,03,0,0.319,0,None
2022-01-14,04,0,0.242,0,None
2022-01-14,05,0,0.229,0,None
2022-01-14,06,0,0.22,0,None
2022-01-14,07,0,1.333,0,None
2022-01-14,08,0.302,0,0.085,Low
2022-01-14,09,0,0,0.236,High
2022-01-14,10,0,0,0.242,High
2022-01-14,11,0,0,0.247,Very High
2022-01-14,12,0,0,0.312,High
2022-01-14,13,0,0,0.237,Very High
2022-01-14,14,0,0,0.255,High
2022-01-14,15,0,0,0.304,Medium
2022-01-14,16,0.191,0,0.094,None
2022-01-14,17,0.232,0,0.002,None
2022-01-14,18,0.492,0,0,None
2022-01-14,19,1.476,0,0,None
