Data,Hora,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh)
2023-01-01,00,0,0.467,0
2023-01-01,01,0,0.577,0
2023-01-01,02,0,0.346,0
2023-01-01,03,0,0.27,0
2023-01-01,04,0,0.252,0
2023-01-01,05,0,0.255,0
2023-01-01,06,0,0.256,0
2023-01-01,07,0,0.263,0
2023-01-01,08,0.275,0,0.002
2023-01-01,09,0.331,0,0
2023-01-01,10,0.271,0,0
2023-01-01,11,0.25,0,0.022
2023-01-01,12,0.778,0,0.056
2023-01-01,13,0.496,0,0.007
2023-01-01,14,0.338,0,0.016
2023-01-01,15,0.362,0,0.001
2023-01-01,16,1.326,0,0
2023-01-01,17,0.631,0,0
2023-01-01,18,0.595,0,0
2023-01-01,19,2.089,0,0
2023-01-01,20,1.635,0,0
2023-01-01,21,0.637,0,0
2023-01-01,22,0,0.577,0
2023-01-01,23,0,0.566,0
2023-01-02,00,0,0.639,0
2023-01-02,01,0,0.51,0
2023-01-02,02,0,0.375,0
2023-01-02,03,0,0.345,0
2023-01-02,04,0,0.241,0
2023-01-02,05,0,0.237,0
2023-01-02,06,0,0.252,0
2023-01-02,07,0,0.974,0
2023-01-02,08,0.476,0,0.01
2023-01-02,09,0.15,0,0.083
2023-01-02,10,0.08,0,0.158
2023-01-02,11,0,0,0.251
2023-01-02,12,0,0,0.248
2023-01-02,13,0.166,0,0.078
2023-01-02,14,0.01,0,0.22
2023-01-02,15,0.023,0,0.272
2023-01-02,16,0.251,0,0.053
2023-01-02,17,0.425,0,0
2023-01-02,18,0.97,0,0
2023-01-02,19,0.683,0,0
2023-01-02,20,0.73,0,0
2023-01-02,21,0.847,0,0
2023-01-02,22,0,0.681,0
2023-01-02,23,0,0.56,0
2023-01-03,00,0,0.521,0
2023-01-03,01,0,0.338,0
2023-01-03,02,0,0.271,0
2023-01-03,03,0,0.259,0
2023-01-03,04,0,0.247,0
2023-01-03,05,0,0.263,0
2023-01-03,06,0,0.274,0
2023-01-03,07,0,0.813,0
2023-01-03,08,0.301,0,0.081
2023-01-03,09,0,0,0.325
2023-01-03,10,0,0,0.271
2023-01-03,11,0,0,0.261
2023-01-03,12,0.368,0,0.614
2023-01-03,13,0.06,0,0.495
2023-01-03,14,0,0,0.255
2023-01-03,15,0.023,0,0.221
2023-01-03,16,0.175,0,0.065
2023-01-03,17,0.23,0,0
2023-01-03,18,0.858,0,0
2023-01-03,19,0.843,0,0
2023-01-03,20,0.463,0,0
2023-01-03,21,0.854,0,0
2023-01-03,22,0,1.514,0
2023-01-03,23,0,0.609,0
2023-01-04,00,0,0.592,0
2023-01-04,01,0,0.579,0
2023-01-04,02,0,0.531,0
2023-01-04,03,0,0.264,0
2023-01-04,04,0,0.266,0
2023-01-04,05,0,0.265,0
2023-01-04,06,0,0.299,0
2023-01-04,07,0,1.245,0
2023-01-04,08,0.369,0,0.092
2023-01-04,09,0,0,0.367
2023-01-04,10,0,0,0.367
2023-01-04,11,0,0,0.361
2023-01-04,12,0,0,0.281
2023-01-04,13,0,0,0.252
2023-01-04,14,0,0,0.288
2023-01-04,15,0.204,0,0.324
2023-01-04,16,0.21,0,0.042
2023-01-04,17,0.304,0,0
2023-01-04,18,1.174,0,0
2023-01-04,19,1.826,0,0
2023-01-04,20,1.262,0,0
2023-01-04,21,0.808,0,0
2023-01-04,22,0,0.662,0
2023-01-04,23,0,0.472,0
2023-01-05,00,0,0.418,0
2023-01-05,01,0,0.361,0
2023-01-05,02,0,0.357,0
2023-01-05,03,0,0.319,0
2023-01-05,04,0,0.308,0
2023-01-05,05,0,0.303,0
2023-01-05,06,0,0.308,0
2023-01-05,07,0,0.829,0
2023-01-05,08,0.381,0,0.094
2023-01-05,09,0,0,0.335
2023-01-05,10,0.336,0,0.616
2023-01-05,11,0,0,0.337
2023-01-05,12,0.057,0,0.424
2023-01-05,13,0,0,0.343
2023-01-05,14,0,0,0.292
2023-01-05,15,0,0,0.293
2023-01-05,16,0.247,0,0.049
2023-01-05,17,0.321,0,0
2023-01-05,18,0.89,0,0
2023-01-05,19,1.752,0,0
2023-01-05,20,0.817,0,0
2023-01-05,21,1.256,0,0
2023-01-05,22,0,2.771,0
2023-01-05,23,0,2.215,0
2023-01-06,00,0,1.78,0
2023-01-06,01,0,0.95,0
2023-01-06,02,0,0.713,0
2023-01-06,03,0,0.47,0
2023-01-06,04,0,0.497,0
2023-01-06,05,0,0.443,0
2023-01-06,06,0,0.792,0
2023-01-06,07,0,1.763,0
2023-01-06,08,0.947,0,0.074
2023-01-06,09,0.245,0,0.406
2023-01-06,10,0.164,0,0.421
2023-01-06,11,0.052,0,0.449
2023-01-06,12,0.067,0,0.394
2023-01-06,13,0.018,0,0.436
2023-01-06,14,0,0,0.444
2023-01-06,15,0.222,0,0.223
2023-01-06,16,0.457,0,0.046
2023-01-06,17,0.586,0,0
2023-01-06,18,1.821,0,0
2023-01-06,19,1.046,0,0
2023-01-06,20,0.413,0,0
2023-01-06,21,0.36,0,0
2023-01-06,22,0,0.369,0
2023-01-06,23,0,0.375,0
2023-01-07,00,0,0.732,0
2023-01-07,01,0,0.605,0
2023-01-07,02,0,0.493,0
2023-01-07,03,0,1.073,0
2023-01-07,04,0,0.777,0
2023-01-07,05,0,0.469,0
2023-01-07,06,0,0.412,0
2023-01-07,07,0,0.408,0
2023-01-07,08,0.383,0,0
2023-01-07,09,0.343,0,0.023
2023-01-07,10,0.333,0,0.03
2023-01-07,11,0.415,0,0.057
2023-01-07,12,0.61,0,0.061
2023-01-07,13,0.533,0,0.065
2023-01-07,14,0.536,0,0.02
2023-01-07,15,0.922,0,0.005
2023-01-07,16,0.678,0,0.001
2023-01-07,17,0.521,0,0
2023-01-07,18,0.563,0,0
2023-01-07,19,0.668,0,0
2023-01-07,20,0.523,0,0
2023-01-07,21,0.338,0,0
2023-01-07,22,0,0.34,0
2023-01-07,23,0,0.411,0
2023-01-08,00,0,0.677,0
2023-01-08,01,0,0.286,0
2023-01-08,02,0,0.26,0
2023-01-08,03,0,0.258,0
2023-01-08,04,0,0.255,0
2023-01-08,05,0,0.283,0
2023-01-08,06,0,0.752,0
2023-01-08,07,0,0.28,0
2023-01-08,08,0.259,0,0.001
2023-01-08,09,0.226,0,0.05
2023-01-08,10,0.185,0,0.095
2023-01-08,11,0.94,0,0.105
2023-01-08,12,1.277,0,0.17
2023-01-08,13,1.165,0,0.123
2023-01-08,14,1.999,0,0.077
2023-01-08,15,2.19,0,0.025
2023-01-08,16,1.681,0,0.011
2023-01-08,17,0.797,0,0
2023-01-08,18,0.659,0,0
2023-01-08,19,0.929,0,0
2023-01-08,20,0.719,0,0
2023-01-08,21,0.418,0,0
2023-01-08,22,0,0.384,0
2023-01-08,23,0,0.395,0
2023-01-09,00,0,0.719,0
2023-01-09,01,0,0.342,0
2023-01-09,02,0,0.262,0
2023-01-09,03,0,0.256,0
2023-01-09,04,0,0.254,0
2023-01-09,05,0,0.253,0
2023-01-09,06,0,0.255,0
2023-01-09,07,0,1.127,0
