dt,dt_iso,city_name,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,rain_1h,clouds_all,weather_description
1640995200,2022-01-01 00:00:00 +0000 UTC,local,16.59,16,16.21,16.72,1024,,,65,3.15,,97,overcast clouds
1640998800,2022-01-01 01:00:00 +0000 UTC,local,16.59,16,16.21,16.72,1024,,,65,3.14,,58,broken clouds
1641002400,2022-01-01 02:00:00 +0000 UTC,local,16.59,16.03,15.67,16.72,1024,,,66,3.12,,23,few clouds
1641006000,2022-01-01 03:00:00 +0000 UTC,local,13.59,12.75,11.61,16.16,1023,,,67,3.08,,22,few clouds
1641009600,2022-01-01 04:00:00 +0000 UTC,local,14.97,14.27,14.72,15.66,1023,,,67,3.12,,15,few clouds
1641013200,2022-01-01 05:00:00 +0000 UTC,local,14.24,13.47,13.72,15.66,1023,,,67,3.1,,20,few clouds
1641016800,2022-01-01 06:00:00 +0000 UTC,local,13.37,12.51,11.66,15.57,1023,,,67,3.1,,13,few clouds
1641020400,2022-01-01 07:00:00 +0000 UTC,local,15.56,14.95,12.89,15.72,1023,,,68,3.24,,14,few clouds
1641024000,2022-01-01 08:00:00 +0000 UTC,local,15.26,14.64,12.89,15.72,1023,,,69,3.16,,27,scattered clouds
1641027600,2022-01-01 09:00:00 +0000 UTC,local,14.94,14.27,12.89,16.12,1024,,,68,2.97,,67,broken clouds
1641031200,2022-01-01 10:00:00 +0000 UTC,local,15.64,14.93,13.43,16.72,1024,,,64,3.22,,93,overcast clouds
1641034800,2022-01-01 11:00:00 +0000 UTC,local,18.71,17.99,14.54,19.04,1024,,,52,3.29,,93,overcast clouds
1641038400,2022-01-01 12:00:00 +0000 UTC,local,19.94,19.32,17.88,22.72,1024,,,51,3.19,,89,overcast clouds
1641042000,2022-01-01 13:00:00 +0000 UTC,local,20.02,19.46,19.59,22.72,1024,,,53,3.26,,99,overcast clouds
1641045600,2022-01-01 14:00:00 +0000 UTC,local,20.25,19.74,20.15,22.32,1023,,,54,3.56,,100,overcast clouds
1641049200,2022-01-01 15:00:00 +0000 UTC,local,20.72,20.21,20.7,21.22,1023,,,52,3.57,,95,overcast clouds
1641052800,2022-01-01 16:00:00 +0000 UTC,local,20.17,19.63,20.15,21.22,1023,,,53,3.73,,95,overcast clouds
1641056400,2022-01-01 17:00:00 +0000 UTC,local,19.86,19.31,19.72,20.67,1023,,,54,3.72,,95,overcast clouds
1641060000,2022-01-01 18:00:00 +0000 UTC,local,19.49,18.9,18.99,19.72,1024,,,54,3.26,,96,overcast clouds
1641063600,2022-01-01 19:00:00 +0000 UTC,local,19.32,18.77,18.43,19.72,1024,,,56,4.01,,93,overcast clouds
1641067200,2022-01-01 20:00:00 +0000 UTC,local,18.47,17.99,17.88,19,1025,,,62,4.36,,98,overcast clouds
1641070800,2022-01-01 21:00:00 +0000 UTC,local,17.78,17.44,17.72,17.89,1025,,,70,4.36,,99,overcast clouds
1641074400,2022-01-01 22:00:00 +0000 UTC,local,16.84,16.43,16.45,17.33,1026,,,71,3.92,0.37,98,light rain
1641078000,2022-01-01 23:00:00 +0000 UTC,local,15.22,14.81,13.72,16.78,1026,,,77,3.53,0.51,100,light rain
1641081600,2022-01-02 00:00:00 +0000 UTC,local,15.64,15.37,13.9,16.21,1026,,,81,3.19,0.82,100,light rain
1641085200,2022-01-02 01:00:00 +0000 UTC,local,14.52,14.38,13.34,14.59,1026,,,90,2.74,0.41,100,light rain
1641088800,2022-01-02 02:00:00 +0000 UTC,local,14.5,14.41,13.34,14.59,1027,,,92,2.47,0.47,100,light rain
1641092400,2022-01-02 03:00:00 +0000 UTC,local,14.5,14.43,13.34,14.59,1027,,,93,2.26,0.34,100,light rain
