dt,dt_iso,city_name,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,rain_1h,clouds_all,weather_description
1678838400,2023-03-15 00:00:00 +0000 UTC,local,9.48,8.07,9.48,9.48,1021,,,88,2.7,,2,clear sky
1678842000,2023-03-15 01:00:00 +0000 UTC,local,8.92,7.47,8.92,8.92,1020,,,87,2.61,,5,clear sky
1678845600,2023-03-15 02:00:00 +0000 UTC,local,8.55,7.3,8.55,8.55,1020,,,87,2.24,,4,clear sky
1678849200,2023-03-15 03:00:00 +0000 UTC,local,8.27,7.01,8.27,8.27,1019,,,87,2.19,,3,clear sky
1678852800,2023-03-15 04:00:00 +0000 UTC,local,8.01,6.89,8.01,8.01,1019,,,87,1.98,,3,clear sky
1678856400,2023-03-15 05:00:00 +0000 UTC,local,7.78,6.6,7.78,7.78,1018,,,86,2.01,,2,clear sky
1678860000,2023-03-15 06:00:00 +0000 UTC,local,7.32,6.19,7.32,7.32,1018,,,84,1.87,,1,clear sky
1678863600,2023-03-15 07:00:00 +0000 UTC,local,7.3,6.65,7.3,7.3,1018,,,83,1.43,,0,clear sky
1678867200,2023-03-15 08:00:00 +0000 UTC,local,10.52,9.43,10.52,10.52,1018,,,69,0.91,,0,clear sky
1678870800,2023-03-15 09:00:00 +0000 UTC,local,13.89,12.77,13.89,13.89,1018,,,55,0.89,,0,clear sky
1678874400,2023-03-15 10:00:00 +0000 UTC,local,16.96,15.89,16.96,16.96,1018,,,45,1.15,,0,clear sky
1678878000,2023-03-15 11:00:00 +0000 UTC,local,19.52,18.49,19.52,19.52,1017,,,37,1.32,,1,clear sky
1678881600,2023-03-15 12:00:00 +0000 UTC,local,21.42,20.43,21.42,21.42,1017,,,31,2.18,,1,clear sky
1678885200,2023-03-15 13:00:00 +0000 UTC,local,23.05,22.17,23.05,23.05,1016,,,29,2.84,,2,clear sky
1678888800,2023-03-15 14:00:00 +0000 UTC,local,24.02,23.18,24.02,24.02,1015,,,27,2.92,,2,clear sky
1678892400,2023-03-15 15:00:00 +0000 UTC,local,24.37,23.57,24.37,24.37,1014,,,27,3.08,,3,clear sky
1678896000,2023-03-15 16:00:00 +0000 UTC,local,24.07,23.26,24.07,24.07,1014,,,28,2.94,,3,clear sky
1678899600,2023-03-15 17:00:00 +0000 UTC,local,23.12,22.4,23.12,23.12,1014,,,35,2.68,,2,clear sky
1678903200,2023-03-15 18:00:00 +0000 UTC,local,19.14,18.28,19.14,19.14,1014,,,45,3.06,,3,clear sky
1678906800,2023-03-15 19:00:00 +0000 UTC,local,15.96,14.84,15.96,15.96,1014,,,47,2.74,,4,clear sky
1678910400,2023-03-15 20:00:00 +0000 UTC,local,14.47,13.3,14.47,14.47,1014,,,51,2.12,,4,clear sky
1678914000,2023-03-15 21:00:00 +0000 UTC,local,13.46,12.32,13.46,13.46,1015,,,56,1.59,,5,clear sky
1678917600,2023-03-15 22:00:00 +0000 UTC,local,12.63,11.49,12.63,12.63,1015,,,59,1.5,,5,clear sky
1678921200,2023-03-15 23:00:00 +0000 UTC,local,11.82,10.75,11.82,11.82,1014,,,65,1.21,,5,clear sky
1678924800,2023-03-16 00:00:00 +0000 UTC,local,11.33,10.24,11.33,11.33,1014,,,66,1.61,,5,clear sky
1678928400,2023-03-16 01:00:00 +0000 UTC,local,10.64,9.56,10.64,10.64,1013,,,69,1.51,,6,clear sky
1678932000,2023-03-16 02:00:00 +0000 UTC,local,10.2,9.1,10.2,10.2,1013,,,70,1.17,,6,clear sky
1678935600,2023-03-16 03:00:00 +0000 UTC,local,10.01,8.92,10.01,10.01,1012,,,71,0.65,,24,few clouds
1678939200,2023-03-16 04:00:00 +0000 UTC,local,10.04,8.95,10.04,10.04,1012,,,71,0.49,,42,scattered clouds
1678942800,2023-03-16 05:00:00 +0000 UTC,local,9.58,9.58,9.58,9.58,1012,,,73,0.38,,39,scattered clouds
1678946400,2023-03-16 06:00:00 +0000 UTC,local,9.35,9.35,9.35,9.35,1012,,,74,0.18,,36,scattered clouds
1678950000,2023-03-16 07:00:00 +0000 UTC,local,9.96,9.96,9.96,9.96,1012,,,68,0.46,,100,overcast clouds
1678953600,2023-03-16 08:00:00 +0000 UTC,local,12.99,11.94,12.99,12.99,1012,,,61,1.69,,100,overcast clouds
1678957200,2023-03-16 09:00:00 +0000 UTC,local,15.38,14.41,15.38,15.38,1012,,,55,2.71,,100,overcast clouds
1678960800,2023-03-16 10:00:00 +0000 UTC,local,17.24,16.33,17.24,17.24,1013,,,50,4.05,,100,overcast clouds
1678964400,2023-03-16 11:00:00 +0000 UTC,local,18.6,17.8,18.6,18.6,1013,,,49,4.89,,100,overcast clouds
1678968000,2023-03-16 12:00:00 +0000 UTC,local,20.02,19.36,20.02,20.02,1012,,,49,5.64,,100,overcast clouds
1678971600,2023-03-16 13:00:00 +0000 UTC,local,20.55,19.97,20.55,20.55,1011,,,50,5.91,,100,overcast clouds
1678975200,2023-03-16 14:00:00 +0000 UTC,local,21.19,20.67,21.19,21.19,1010,,,50,5.4,,100,overcast clouds
1678978800,2023-03-16 15:00:00 +0000 UTC,local,22.02,21.48,22.02,22.02,1010,,,46,4.04,,100,overcast clouds
1678982400,2023-03-16 16:00:00 +0000 UTC,local,22.24,21.64,22.24,22.24,1010,,,43,3.01,,100,overcast clouds
1678986000,2023-03-16 17:00:00 +0000 UTC,local,21.14,20.62,21.14,21.14,1010,,,50,2.3,,100,overcast clouds
1678989600,2023-03-16 18:00:00 +0000 UTC,local,17.24,16.64,17.24,17.24,1011,,,62,3.47,,100,overcast clouds
1678993200,2023-03-16 19:00:00 +0000 UTC,local,14.98,14.31,14.98,14.98,1012,,,68,3.3,,100,overcast clouds
1678996800,2023-03-16 20:00:00 +0000 UTC,local,13.73,12.99,13.73,13.73,1013,,,70,2.48,,100,overcast clouds
1679000400,2023-03-16 21:00:00 +0000 UTC,local,12.8,12.2,12.8,12.8,1013,,,79,2.35,,99,overcast clouds
1679004000,2023-03-16 22:00:00 +0000 UTC,local,13.61,13.19,13.61,13.61,1014,,,83,3.02,,98,overcast clouds
1679007600,2023-03-16 23:00:00 +0000 UTC,local,14.86,14.59,14.86,14.86,1014,,,84,3.25,,98,overcast clouds
1679011200,2023-03-17 00:00:00 +0000 UTC,local,13.57,13.36,13.57,13.57,1014,,,91,2.88,,99,overcast clouds
1679014800,2023-03-17 01:00:00 +0000 UTC,local,12.4,12.18,12.4,12.4,1014,,,95,2.91,,100,overcast clouds
1679018400,2023-03-17 02:00:00 +0000 UTC,local,11.6,11.32,11.6,11.6,1015,,,96,2.64,,100,overcast clouds
1679022000,2023-03-17 03:00:00 +0000 UTC,local,10.94,10.6,10.94,10.94,1015,,,96,2.37,,100,overcast clouds
1679025600,2023-03-17 04:00:00 +0000 UTC,local,10.62,10.24,10.62,10.62,1015,,,96,2.35,,100,overcast clouds
1679029200,2023-03-17 05:00:00 +0000 UTC,local,10.22,9.8,10.22,10.22,1015,,,96,2.27,,85,overcast clouds
1679032800,2023-03-17 06:00:00 +0000 UTC,local,9.91,8.9,9.91,9.91,1016,,,96,2.24,,72,broken clouds
1679036400,2023-03-17 07:00:00 +0000 UTC,local,9.91,8.92,9.91,9.91,1016,,,95,2.21,,0,clear sky
1679040000,2023-03-17 08:00:00 +0000 UTC,local,12.3,11.86,12.3,12.3,1017,,,87,2.67,,0,clear sky
1679043600,2023-03-17 09:00:00 +0000 UTC,local,14.85,14.32,14.85,14.85,1017,,,74,4.16,,0,clear sky
1679047200,2023-03-17 10:00:00 +0000 UTC,local,16.59,15.87,16.59,16.59,1017,,,60,4.78,,0,clear sky
1679050800,2023-03-17 11:00:00 +0000 UTC,local,17.9,17.08,17.9,17.9,1017,,,51,4.59,,0,clear sky
1679054400,2023-03-17 12:00:00 +0000 UTC,local,19.41,18.63,19.41,19.41,1017,,,47,5.05,,4,clear sky
1679058000,2023-03-17 13:00:00 +0000 UTC,local,19.96,19.16,19.96,19.96,1016,,,44,5.24,,75,broken clouds
1679061600,2023-03-17 14:00:00 +0000 UTC,local,20.19,19.36,20.19,20.19,1016,,,42,5.8,,87,overcast clouds
1679065200,2023-03-17 15:00:00 +0000 UTC,local,19.77,18.93,19.77,19.77,1016,,,43,7.04,,91,overcast clouds
1679068800,2023-03-17 16:00:00 +0000 UTC,local,17.66,16.81,17.66,17.66,1016,,,51,6.88,,93,overcast clouds
1679072400,2023-03-17 17:00:00 +0000 UTC,local,17.02,16.21,17.02,17.02,1016,,,55,6.27,,95,overcast clouds
1679076000,2023-03-17 18:00:00 +0000 UTC,local,15.75,14.97,15.75,15.75,1017,,,61,5.7,,96,overcast clouds
1679079600,2023-03-17 19:00:00 +0000 UTC,local,14.11,13.43,14.11,14.11,1017,,,71,5.18,,100,overcast clouds
1679083200,2023-03-17 20:00:00 +0000 UTC,local,12.74,12.13,12.74,12.74,1018,,,79,3.81,,100,overcast clouds
1679086800,2023-03-17 21:00:00 +0000 UTC,local,12.24,11.74,12.24,12.24,1018,,,85,3.32,,100,overcast clouds
1679090400,2023-03-17 22:00:00 +0000 UTC,local,11.59,11.13,11.59,11.59,1018,,,89,3.02,,100,overcast clouds
1679094000,2023-03-17 23:00:00 +0000 UTC,local,10.61,10.13,10.61,10.61,1019,,,92,2.98,,94,overcast clouds
1679097600,2023-03-18 00:00:00 +0000 UTC,local,9.8,8.71,9.8,9.8,1018,,,93,2.33,,88,overcast clouds
1679101200,2023-03-18 01:00:00 +0000 UTC,local,9.6,8.98,9.6,9.6,1018,,,95,1.71,,39,scattered clouds
1679104800,2023-03-18 02:00:00 +0000 UTC,local,9.82,9.82,9.82,9.82,1018,,,93,1.29,,39,scattered clouds
1679108400,2023-03-18 03:00:00 +0000 UTC,local,10.88,10.4,10.88,10.88,1017,,,91,1.41,,53,broken clouds
1679112000,2023-03-18 04:00:00 +0000 UTC,local,11.42,10.97,11.42,11.42,1018,,,90,1.83,,64,broken clouds
1679115600,2023-03-18 05:00:00 +0000 UTC,local,10.66,10.21,10.66,10.66,1018,,,93,2.44,,67,broken clouds
1679119200,2023-03-18 06:00:00 +0000 UTC,local,9.92,8.6,9.92,9.92,1018,,,95,2.7,,63,broken clouds
1679122800,2023-03-18 07:00:00 +0000 UTC,local,9.39,7.69,9.39,9.39,1019,,,97,3.16,,11,few clouds
1679126400,2023-03-18 08:00:00 +0000 UTC,local,11.24,10.77,11.24,11.24,1020,,,90,3.5,,16,few clouds
1679130000,2023-03-18 09:00:00 +0000 UTC,local,13.45,12.91,13.45,13.45,1020,,,79,4.0,,12,few clouds
1679133600,2023-03-18 10:00:00 +0000 UTC,local,15.15,14.47,15.15,15.15,1020,,,67,4.17,,14,few clouds
1679137200,2023-03-18 11:00:00 +0000 UTC,local,16.63,15.86,16.63,16.63,1020,,,58,4.3,,19,few clouds
1679140800,2023-03-18 12:00:00 +0000 UTC,local,17.77,16.99,17.77,17.77,1019,,,53,4.61,,24,few clouds
1679144400,2023-03-18 13:00:00 +0000 UTC,local,18.34,17.54,18.34,18.34,1019,,,50,4.63,,90,overcast clouds
1679148000,2023-03-18 14:00:00 +0000 UTC,local,17.94,17.04,17.94,17.94,1018,,,48,4.87,,95,overcast clouds
1679151600,2023-03-18 15:00:00 +0000 UTC,local,17.57,16.69,17.57,17.57,1018,,,50,4.95,,97,overcast clouds
1679155200,2023-03-18 16:00:00 +0000 UTC,local,17.36,16.54,17.36,17.36,1018,,,53,4.96,,97,overcast clouds
1679158800,2023-03-18 17:00:00 +0000 UTC,local,17.08,16.31,17.08,17.08,1018,,,56,5.85,,96,overcast clouds
1679162400,2023-03-18 18:00:00 +0000 UTC,local,16.15,15.44,16.15,16.15,1019,,,62,5.52,,95,overcast clouds
1679166000,2023-03-18 19:00:00 +0000 UTC,local,14.78,14.09,14.78,14.78,1020,,,68,4.99,,100,overcast clouds
1679169600,2023-03-18 20:00:00 +0000 UTC,local,13.55,12.94,13.55,13.55,1021,,,76,4.31,,91,overcast clouds
